Name,Household Income,Population,B01002_002E,B01002_003E,Median Age,Per Capita Income,Poverty Count,Total Work Force,Total Female Workforce,Total Female Did Not Work,Total Male Workforce,Total Male Did Not Work,Masters Attainment,Median Rent,state,Year,state_code,geometry,id,properties,Male DNW %,Female DNW %,DNW Delta,Poverty Rate
Alabama,54943.0,4997675.0,38.0,40.5,39.3,30458.0,769819.0,3161072.0,2083785.0,524779.0,1549575.0,371362.0,251040.0,630.0,01,2021,1,<fiona.model.Geometry object at 0x17c3ccfd0>,1,<fiona.model.Properties object at 0x17c3cd0d0>,23.965409870448347,25.18393212351562,1.218522253067274,15.403542647331008
Alaska,80287.0,735951.0,34.6,35.4,35.0,39236.0,75016.0,481977.0,271261.0,54983.0,255877.0,43700.0,39503.0,1153.0,02,2021,2,<fiona.model.Geometry object at 0x17c36b390>,2,<fiona.model.Properties object at 0x17c3d5190>,17.078518194288662,20.26940842951991,3.1908902352312474,10.19306991905711
Arizona,65913.0,7079203.0,37.0,39.3,38.1,34644.0,934911.0,4406765.0,2846006.0,634233.0,2227680.0,444809.0,413353.0,994.0,04,2021,4,<fiona.model.Geometry object at 0x17dee4910>,4,<fiona.model.Properties object at 0x17dee5210>,19.96736515118868,22.285019778594986,2.3176546274063057,13.206444284759174
Arkansas,52123.0,3006309.0,37.2,39.5,38.3,29210.0,468113.0,1876894.0,1219539.0,287362.0,935991.0,232365.0,129009.0,612.0,05,2021,5,<fiona.model.Geometry object at 0x17df1e510>,5,<fiona.model.Properties object at 0x17df7f910>,24.825559220120706,23.563166081609527,-1.2623931385111788,15.57102080990344
California,84097.0,39455353.0,36.0,38.0,37.0,41276.0,4741175.0,25829825.0,15857294.0,3798202.0,13092884.0,2633897.0,2449563.0,1547.0,06,2021,6,<fiona.model.Geometry object at 0x17dfd1490>,6,<fiona.model.Properties object at 0x17dfd1590>,20.117011653047562,23.952396922198705,3.8353852691511428,12.016557043603184
Colorado,80184.0,5723176.0,36.4,37.9,37.1,42807.0,535976.0,3787145.0,2283279.0,407586.0,1943856.0,274524.0,465071.0,1325.0,08,2021,8,<fiona.model.Geometry object at 0x17e00a8d0>,8,<fiona.model.Properties object at 0x17e06a290>,14.122651060572387,17.850906525220964,3.7282554646485764,9.365009917570244
Connecticut,83572.0,3605330.0,39.5,42.4,41.0,47869.0,351476.0,2334482.0,1518059.0,267696.0,1162699.0,201907.0,334219.0,1069.0,09,2021,9,<fiona.model.Geometry object at 0x17e07a890>,9,<fiona.model.Properties object at 0x17e07a990>,17.36537143319122,17.634097225470157,0.26872579227893567,9.748788599101886
Delaware,72724.0,981892.0,39.4,42.8,41.1,38917.0,109274.0,612423.0,414664.0,75737.0,300128.0,57780.0,71962.0,1020.0,10,2021,10,<fiona.model.Geometry object at 0x17e089990>,10,<fiona.model.Properties object at 0x17e089a90>,19.25178590468067,18.2646672968958,-0.9871186077848684,11.128922529157993
District of Columbia,93547.0,683154.0,34.3,34.4,34.3,63793.0,100618.0,485206.0,301403.0,48860.0,232484.0,41004.0,106838.0,1595.0,11,2021,11,<fiona.model.Geometry object at 0x17e0df090>,11,<fiona.model.Properties object at 0x17e0df190>,17.63734278487982,16.21085390656364,-1.4264888783161815,14.728450686082494
Florida,61777.0,21339762.0,40.9,43.6,42.3,35216.0,2744612.0,13230059.0,9011799.0,1878131.0,6588323.0,1392215.0,1253271.0,1149.0,12,2021,12,<fiona.model.Geometry object at 0x17e126c50>,12,<fiona.model.Properties object at 0x17e126d50>,21.131553507622503,20.84079993350939,-0.2907535741131113,12.861493019462916
Georgia,65030.0,10625615.0,35.9,38.2,37.1,34516.0,1441351.0,6905207.0,4337320.0,982023.0,3396743.0,704150.0,643718.0,902.0,13,2021,13,<fiona.model.Geometry object at 0x17e136050>,13,<fiona.model.Properties object at 0x17e136150>,20.730152384210403,22.641239290621858,1.9110869064114553,13.564871303919821
Hawaii,88005.0,1453498.0,38.3,40.9,39.6,39045.0,133740.0,905722.0,586446.0,101853.0,464879.0,80304.0,83849.0,1591.0,15,2021,15,<fiona.model.Geometry object at 0x17e205550>,15,<fiona.model.Properties object at 0x17e205650>,17.274172419059582,17.367839494173378,0.09366707511379602,9.201251050913038
Idaho,63377.0,1811617.0,36.2,37.4,36.8,31509.0,202560.0,1118147.0,700696.0,139528.0,567621.0,85131.0,79872.0,817.0,16,2021,16,<fiona.model.Geometry object at 0x17e2352d0>,16,<fiona.model.Properties object at 0x17e2353d0>,14.997859487228274,19.912772443399135,4.914912956170861,11.181171296140409
Illinois,72563.0,12821813.0,37.4,39.5,38.5,39571.0,1483378.0,8263243.0,5244168.0,1028603.0,4141591.0,769471.0,920298.0,941.0,17,2021,17,<fiona.model.Geometry object at 0x17e29c9d0>,17,<fiona.model.Properties object at 0x17e29cad0>,18.5791160933081,19.614226699068375,1.0351106057602735,11.569175123674007
Indiana,61944.0,6751340.0,36.8,38.9,37.9,32537.0,819005.0,4285682.0,2721365.0,530900.0,2149371.0,381710.0,334885.0,709.0,18,2021,18,<fiona.model.Geometry object at 0x17e2da190>,18,<fiona.model.Properties object at 0x17e2da890>,17.759149071984314,19.508592195460732,1.7494431234764178,12.13099917942216
Iowa,65429.0,3179090.0,37.4,39.2,38.3,34817.0,339695.0,1983107.0,1268973.0,184348.0,1009218.0,138478.0,144056.0,689.0,19,2021,19,<fiona.model.Geometry object at 0x17eed3ed0>,19,<fiona.model.Properties object at 0x17eed4410>,13.721316900808349,14.527338249119564,0.8060213483112157,10.685290444749914
Kansas,64521.0,2932099.0,36.0,38.1,37.0,34968.0,327209.0,1835449.0,1155964.0,197110.0,933001.0,135910.0,181958.0,706.0,20,2021,20,<fiona.model.Geometry object at 0x17f10b2d0>,20,<fiona.model.Properties object at 0x17f10b3d0>,14.566972597028299,17.05156908000595,2.4845964829776523,11.159548159867725
